,ECCN Code,Description
1954,3B001,"Equipment for the manufacturing of semiconductor devices or materials, n.e.s."
1955,4A994,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
1956,3A999,"Computers, electronic assemblies and related equipment not controlled by 3A002"
1959,2A291,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
1963,2B230,"All types of ""pressure transducers"" capable of measuring absolute pres"
1964,2B201,"Machine tools, and any combination thereof, other than those controlle"
1965,2B001,"Machine tools and any combination thereof, for removing (or cutting) m"
1967,3A002,"General purpose ""electronic assemblies,"" modules and equipment, as fol"
1969,2B006,"Dimensional Inspection or Measuring Systems, Equipment, Position Feedb"
1972,5A002,"""Information Security"" systems, equipment and ""components,"" as follows"
1975,5B002,"""Information Security"" test, inspection and ""production"" equipment, as"
1976,3B001,"Equipment for the manufacturing of semiconductor devices or materials,"
1977,9A604,"Commodities related to launch vehicles, missiles, and rockets (see Lis"
1996,3A981,Polygraphs
1999,1C111,Propellants and constituent chemicals for propellants
2002,9B001,"Manufacturing Equipment, tooling or Fixtures"
2008,2B201,Machine tools
2013,5A992,Equipment
2014,9A990,"Diesel engines, n.e.s., and tractors"
2023,1C111,"Propellants and constituent chemicals for propellants, other than thos"
2024,9B610,"Test, inspection, and production ""equipment"" and related commodities"
2026,1B118,Continuous mixers having all of the following (see List of Items Contr
2027,7B001,"Test, calibration or alignment equipment, ""specially designed"" for equ"
2028,0A614,"Military training ""equipment,"" as follows (see List of Items Controlle"
2031,5A002,"""Information security"" systems, equipment and ""components"", as follows"
2036,6A003,"Cameras, Systems or Equipment, and ""Components"" Therefor, as Follows"
2054,0A502,Shotguns; shotguns parts and components
2056,3A981,Polygraphs (except biomedical recorders)
2058,0A503,Discharge type arms; non-lethal or less-lethal grenades and projectiles
2060,9A610,Software
2063,4A003,"Digital computers, electronic assemblies, and related equipment"
2065,6A004,Optical equipment and components
2069,9A990,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A002"
2074,4A994,"Diesel engines, n.e.s., and tractors and specially designed parts"
2075,8A992,Portable electric generators and specially designed parts and components
2077,3A992,"Computers, electronic assemblies and related equipment not controlled by 3A002"
2078,6A998,Specific Processing Equipment
2080,9A610,Military aircraft and related commodities
2087,1A613,Armored and protective equipment
2092,9A610,"Military aircraft and related commodities, other than those enumerated"
2094,1A004,Protective and detection equipment and components
2096,1A005,Body armor and specially designed components
2097,7A994,"Radar systems, equipment and assemblies"
2098,6A008,"Other navigation direction finding equipment, airborne communication equipment"
2099,9A991,Aircraft
2102,2B999,Specific processing equipment
2105,1A999,Specific processing equipment
2106,1A995,Protective and detection equipment
2108,1C992,Commercial charges and devices containing energetic materials
2115,1C230,"Beryllium metal, alloys containing more than 50% beryllium by weight,"
2116,6A001,"Acoustic systems, equipment and ""components,"" as follows (see List of"
2117,2B352,"Equipment Capable of Use in Handling Biological Materials, as Follows"
2125,6A005,"""Lasers,"" ""components"" and optical equipment, as follows (see List of"
2126,1C008,Non-fluorinated polymeric substances as follows (see List of Items Con
2148,6A002,"Optical Sensors and Equipment, and Components Therefor"
2152,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A110"
2157,EAR99,EAR99 Items subject to the EAR that are not elsewhere specified in this CCL
2163,4A994,"Computers, electronic assemblies and related equipment not controlled by 5A001"
2166,5A994,Equipment not controlled by 5A001
2167,3A991,"Electronic devices, and components"
2174,2B230,All types of pressure transducers capable of measuring absolute pres
2176,3C004,"Hydrides of phosphorus, arsenic or antimony, having a purity better th"
2177,7A003,"Inertial Measurement Equipment or Systems, Having any of the Followi"
2183,1C006,"Fluids and lubricating materials, as follows (see List of Items Controlled)"
2186,3C001,Hetero-epitaxial materials consisting of a substrate having stacked
2187,3A002,"General purpose electronic assemblies, modules and equipment, as fol"
2189,3B991,Equipment not controlled by 3B001 for the manufacture of electronic p
2193,3A991,"Electronic devices, and components not controlled by 3A001."
2203,6A003,"Cameras, Systems or Equipment, and Components Therefor, as Follows ("
2205,7A611,"Military fire control, laser, imaging, and guidance equipment, as foll"
2207,1A613,"Armored and protective equipment and related commodities, as follows"
2208,7A103,"Instrumentation, navigation equipment and systems, other than those controlled by 7A005 or 7A104"
2211,1C998,"Non-fluorinated polymeric substances, not controlled by 1C008, as follows"
2213,7A994,"Other navigation direction finding equipment, airborne communication equipment, and related commodities"
2216,6A001,"Acoustic systems, equipment and components, as follows (see List of"
2217,5D002,Software as follows (see List of Items Controlled).
2225,1A999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items C"
2226,5D992,Information Security software not controlled by 5D002 as follows (
2228,0B505,"Test, inspection, and production equipment and related commodities"
2231,0A504,Optical sighting devices for firearms
2234,6A003,"Cameras, systems or equipment, and components"
2235,0A502,Shotguns
2243,EAR99,Items subject to the EAR
2244,9A991,"""Aircraft"""
2246,2B991,Numerical control units for machine tools
2247,6A005,"""Lasers"""
2252,3A991,Specific processing equipment
2253,3A992,Specific processing equipment
2263,3A101,"Electronic equipment, devices, ""parts"" and ""components,"" other than those"
2265,7A003,"""Inertial Measurement Equipment or Systems"", Having any of the Following"
2274,7A611,"Military fire control, laser, imaging, and guidance equipment, as follows"
2275,1A613,"Armored and protective “equipment” and related commodities, as follows"
2278,9A991,"Aircraft,"" n.e.s., and gas turbine engines not controlled by 9A001 or"
2279,7A994,Equipment not controlled by 5A002
2280,5A992,"Other navigation direction finding equipment, airborne communication equipment"
2282,4A994,"Computers, ""electronic assemblies"" and related equipment not controlled"
2283,3B991,"Diesel engines, n.e.s., and tractors and ""specially designed"" ""parts"""
2284,2B999,"Equipment not controlled by 3B001 for the manufacture of electronic ""p"
2285,3A992,"Specific Processing Equipment, n.e.s., as Follows"
2287,3A999,"Specific Processing Equipment, n.e.s., as Follows"
2288,1B118,Continuous mixers having all of the following
2289,2B001,"Machine tools and any combination thereof, for removing or cutting material"
2290,2D002,"Software for electronic devices, even when residing in an electronic device"
2299,2A001,"Anti-friction bearings, bearing systems and components"
2303,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A001 or 4A002"
2306,1C980,Inorganic chemicals listed in Supplement No. 1 to part 754 of the EAR
2314,9A001,Aero gas turbine engines
2317,2B350,Ground vehicles and related commodities
2331,4A994,"Computers, electronic assemblies and related equipment not controlled"
2338,5A002,Ammunition as follows
2339,9A991,Firearms (except 0A502 shotguns) and related commodities as follows
2340,9A515,Optical sighting devices for firearms (including shotguns controlled by 0A502)
2341,7A994,Military electronics
2342,5D002,"Chemical manufacturing facilities and equipment, except valves controlled by 2B350"
2343,7A103,"Gyros, other than those controlled by 7A002"
2344,EAR99,"Cameras, Systems or Equipment, and Components Therefor"
2345,3A002,Military gas turbine engines and related commodities
2346,6A003,"Information security systems, equipment and components"
2347,9A619,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A110"
2348,0A502,"Information security systems, equipment and components"
2349,0A501,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A110"
2350,0A504,Spacecraft and related commodities
2351,9A515,"Other navigation direction finding equipment, airborne communication equipment"
2352,3A611,Software
2353,2B350,"Instrumentation, navigation equipment and systems"
2354,7A102,Items subject to the EAR that are not elsewhere specified in this CCL
2355,6A003,"General purpose electronic assemblies, modules and equipment"
2356,9A619,Military electronics
2357,5A002,General purpose electronic equipment not controlled by 3A002
2366,4A994,"Computers, electronic assemblies and related equipment not controlled by 1A003"
2371,3A231,"Neutron generator systems, including tubes, having both of the charact"
2373,1A004,"Protective and Detection Equipment and “Components,” Not “Specially De"
2374,1A007,"Equipment and devices, “specially designed” to initiate charges and de"
2376,5A002,"“Information security” systems, equipment and “components,” as follows"
2384,9A991,"“Aircraft,” n.e.s., and gas turbine engines not controlled by 9A001 or"
2385,3A002,"General purpose “electronic assemblies,” modules and equipment, as fol"
2387,3B611,"Test, inspection, and production commodities for military electronics,"
2395,9A990,"Diesel engines, n.e.s., and tractors and “specially designed” “parts”"
2400,0A978,"Law enforcement striking weapons, including saps, police batons, side handles, and similar items"
2401,1A004,"Protective and Detection Equipment and Components, Not Specially Designed"
2402,2B350,"Chemical manufacturing facilities and equipment, except valves control units"
2404,1A985,"Armored and protective equipment and related commodities, as follows"
2409,1A006,"Equipment, specially designed or modified for the disposal of Improvised Explosive Devices"
2412,5D992,Information Security software not controlled by 5D002 as follows
2420,9E991,"Technology, for the development, production or use of equipment"
2425,6A992,"Optical Sensors, not controlled by 6A002, as follows (see List of Items Controlled)"
2426,4A994,"Computers, electronic assemblies, and related equipment not controlled by 3A001"
2427,3A999,Electronic items as follows (see List of Items Controlled)
2437,9B619,"Test, inspection, and production equipment"
2446,7A103,"Instrumentation, navigation equipment and systems, other than those controlled by 9A001 or 9A610"
2460,3A991,Specific Processing Equipment
2461,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A991"
2462,7A994,"Electronic devices, and components not controlled by 3A001"
2463,1A999,"Telecommunication equipment, not controlled by 5A001"
2464,5A991,"Computers, electronic assemblies and related equipment not controlled by 5A001"
2465,7E994,"Technology, n.e.s., for the development, production, or use of commodities controlled by 3A, 3B, or 3C"
2479,6A003,"Cameras, Systems or Equipment"
2486,1A004,Protective and Detection Equipment
2503,0A502,"Shotguns; shotguns parts and components, consisting of complete tr"
2509,9B604,"Test, inspection, and production equipment and related commodities"
2510,9A001,Aero gas turbine engines having any of the following (see List of Items)
2519,5B002,"Information Security test, inspection and production equipment, as"
2526,9E991,"Technology, for the development, production or use of equipmen"
2531,9A991,Equipment Capable of Use in Handling Biological Materials
2532,2B352,Items subject to the EAR that are not elsewhere specified in this CCL
2533,EAR99,Electronic items
2534,3A001,"Other navigation direction finding equipment, airborne communication"
2535,7A994,Equipment not controlled by 3B001 for the manufacture of electronic
2536,3B991,Equipment not controlled by 3B002 for the inspection or testing of ele
2537,3B992,"Chemical manufacturing facilities and equipment, except valves control"
2538,2B350,Fibrous or filamentary materials or prepregs
2539,1C210,"Information security systems, equipment and components"
2558,7A994,"Other navigation direction finding equipment, airborne communication"
2564,3B611,"Test, inspection, and production commodities for military electronics, as follows (see List of Items Controlled)"
2565,6A001,"Acoustic systems, equipment and components, as follows (see List of Items Controlled)"
2566,0A501,Firearms (except 0A502 shotguns) and related commodities as follows (see List of Items Controlled)
2567,1A613,"Armored and protective equipment and related commodities, as follows (see List of Items Controlled)"
2569,0A602,Guns and Armament as follows (see List of Items Controlled)
2573,7A103,"Instrumentation, navigation equipment and systems, other than those controlled by 5A001 or 5A002"
2574,7A994,"Other navigation direction finding equipment, airborne communication equipment, and related commodities (see List of Items Controlled)"
2584,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A003 or 4A004"
2585,2B999,"Vessels, marine systems or equipment, not controlled by 8A001 or 8A002"
2586,8A992,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
2587,4A003,Protective and detection equipment not specially designed for military applications
2599,6A002,Optical Sensors and Equipment
2603,5B991,Telecommunications test equipment
2615,9E991,"Technology for the development, production or use of equipment"
2617,6A998,"Radar systems, equipment and major components"
2618,4A994,"Computers, electronic assemblies and related equipment not controlled by 3A001"
2620,7A103,"Instrumentation, navigation equipment and systems, other than those controlled by 7A004 or 7A104"
2648,1C210,Fibrous or filamentary materials or prepregs
2651,9A515,"Spacecraft and related commodities, as follows"
2655,1C202,"Information security systems, equipment and components, as follows"
2656,5A002,"Test, inspection, and production commodities specially designed for"
2658,7B611,"Instrumentation, navigation equipment and systems, other than those controlled"
2659,7A103,Alloys other than those controlled by 1C002.b.3 or 1C002.b.4 as follows
2669,2B001,"Machine tools and any combination thereof, for removing (or cutting) material"
2696,6A006,Protective and Detection Equipment and Components
2697,1A004,"Magnetometers, magnetic gradiometers, intrinsic magnetic gradiometers"
2708,1C991,"Vaccines, immunotoxins, medical products, diagnostic and food testing"
2735,3B992,Equipment not controlled by 3B002
2736,1C995,"Mixtures not controlled by ECCN 1C350, ECCN 1C355 or ECCN 1C395"
2737,4A994,"Computers, electronic assemblies and related equipment not controlled by 3A002"
2744,9B610,Spacecraft and related commodities
2745,0A602,"Test, inspection, and production equipment"
2746,9B610,Guns and armament
2754,9B604,"Test, inspection, and production equipment"
2761,3B992,Equipment not controlled by 3B002 for the inspection or testing of electronic products
2764,7A994,Specific Processing Equipment
2765,3A999,Electronic items
2766,3A001,Electronic devices and components
2768,2B230,All types of pressure transducers
2787,1A607,"Military dissemination equipment for riot control agents, military d"
2807,3A611,"General purpose electronic assemblies, modules and equipment"
2808,2B350,Chemical manufacturing facilities and equipment
2828,5B991,Specific Processing Equipment
2834,3A981,Polygraphs (except biomedical recorders designed for use in medical fa
2835,0A614,"Military training equipment, as follows (see List of Items Controlle"
2841,9B001,"Manufacturing Equipment, tooling or Fixtures, as Follows (See List of)"
2858,1A995,Chemicals that may be used as precursors for toxic chemical agents
2864,3A611,Military gas turbine engines and related commodities
2866,9A012,Military electronics
2867,9A619,Non-military Unmanned Aerial Vehicles
2879,9A991,Aircraft and gas turbine engines not controlled by 9A001 or 9A002
2882,5A991,Telecommunication equipment not controlled by 5A001
2914,1A999,"Specific Processing Equipment, n.e.s."
2916,0A617,"Miscellaneous Equipment, Materials, and Related Commodities"
2918,1A995,Protective and detection equipment not specially designed for military applications
2920,0A504,Optical sighting devices for firearms (including shotguns controlled by)
2922,1B608,"Test, inspection, and production equipment and related commodities"
2926,0A982,"Law enforcement restraint devices, including leg irons, shackles, and"
2927,3A231,"Neutron generator systems, including tubes, having both of the characteristics"
2928,9A012,"Non-military Unmanned Aerial Vehicles (UAVs), unmanned airships"
2944,6A998,"Radar systems, equipment and major components, n.e.s., and specially designed parts"
2951,6A005,"Acoustic systems, equipment and components, as follows (see List of Items Controlled)"
2952,1C008,"Equipment Capable of Use in Handling Biological Materials, as Follows"
2958,7A103,"Instrumentation, navigation equipment and systems, other than those controlled by 9A001 or 9A103"
2961,6A001,"Lasers, components and optical equipment, as follows (see List of Items Controlled)"
2962,9A619,"Equipment for the manufacturing of semiconductor devices or materials,"
2963,2B350,Military gas turbine engines and related commodities (see List of Items Controlled)
2964,2B230,"Military Aircraft and Related Commodities, Other Than Those Enumerated"
2965,3A233,"Instrumentation, navigation equipment and systems, other than those controlled by 9A001 or 9A103"
2966,3A611,Non-fluorinated polymeric substances as follows (see List of Items Controlled)
2968,7A103,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A103"
2969,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A103"
2976,7A994,"Other navigation direction finding equipment, airborne communication equipment, and related equipment not controlled by 3A002"
2977,4A994,"Computers, electronic assemblies, and related equipment not controlled by 3A002"
2995,5D002,"Software, as follows"
3005,2B999,"Specific Processing Equipment, n.e.s., as Follows"
3013,2B230,"All types of ""pressure transducers"" capable of measuring absolute pressure"
3015,9B610,"Test, inspection, and production ""equipment"""
3017,9A515,Spacecraft
3018,3A233,Mass spectrometers
3032,9A991,"""Aircraft"", n.e.s., and gas turbine engines not controlled by 9A001 or 9A101"
3035,3B090,Semiconductor manufacturing equipment
3042,7A003,"Inertial Measurement Equipment or Systems', Having any of the Following"
3043,9A604,"Commodities related to launch vehicles, missiles, and rockets (see List of Items Controlled)"
3048,7A103,"Instrumentation, navigation equipment and systems, other than those controlled by 7A004"
3058,7A994,"Other navigation direction finding equipment, airborne communication equipment, and components therefor"
3065,4A994,"Computers, ""electronic assemblies"" and related equipment not controlled by 3A002"
3067,8A992,General purpose electronic equipment not controlled by 3A002
3068,9A610,"Vessels, marine systems or equipment, not controlled by 8A001 or 8A002"
3072,1A004,"Protective and Detection Equipment and ""Components"", Not ""Specially De"
3074,6A003,"""Information security"" systems, equipment and ""components"", as follows"
3075,5A002,"Cameras, Systems or Equipment, and ""Components"" Therefor, as Follows"
3076,1A005,"Body armor and ""specially designed"" ""components"" therefor, as follows"
3077,9A012,"Non-military “Unmanned Aerial Vehicles,” (“UAVs”), unmanned ""airships"""
3078,6A008,"Radar systems, equipment and assemblies, having any of the following"
3079,1A004,"Protective and Detection Equipment and ""Components"", Not ""Specially Designed"""
3082,1A607,"Military dissemination “equipment” for riot control agents, military d"
3083,1A613,"Armored and protective ""equipment"" and related commodities, as follows"
3084,1A006,"Equipment, ""specially designed"" or modified for the disposal of Improv"
3107,3A101,"Electronic equipment, devices, parts and components"
3125,1C202,Alloys other than those controlled by 1C002.b.3 or 1C002.b.4
3126,4A994,"Computers, electronic assemblies and related equipment not controlled by 3B001"
3127,3B991,Equipment not controlled by 3B001 for the manufacture of electronic parts
3158,3A999,"Specific Processing Equipment, n.e.s"
